timestamp,Infrared to Red Signal Ratio
01/12/24 01:44:00,-2
01/12/24 01:45:00,-61
01/12/24 01:46:00,-86
01/12/24 01:47:00,-4
01/12/24 01:48:00,-26
01/12/24 01:49:00,-27
01/12/24 01:50:00,-11
01/12/24 01:51:00,5
01/12/24 01:52:00,5
01/12/24 01:53:00,0
01/12/24 01:54:00,61
01/12/24 01:55:00,27
01/12/24 01:56:00,-54
01/12/24 01:57:00,2
01/12/24 01:58:00,0
01/12/24 01:59:00,3
01/12/24 02:00:00,0
01/12/24 02:01:00,-3
01/12/24 02:02:00,0
01/12/24 02:03:00,17
01/12/24 02:04:00,0
01/12/24 02:05:00,0
01/12/24 02:06:00,0
01/12/24 02:07:00,0
01/12/24 02:08:00,0
01/12/24 02:09:00,-1
01/12/24 02:10:00,-28
01/12/24 02:11:00,-2
01/12/24 02:12:00,0
01/12/24 02:13:00,45
01/12/24 02:14:00,21
01/12/24 02:15:00,0
01/12/24 02:16:00,-4
01/12/24 02:17:00,10
01/12/24 02:18:00,24
01/12/24 02:19:00,12
01/12/24 02:20:00,0
01/12/24 02:21:00,0
01/12/24 02:22:00,1
01/12/24 02:23:00,0
01/12/24 02:24:00,-4
01/12/24 02:25:00,23
01/12/24 02:26:00,-13
01/12/24 02:27:00,0
01/12/24 02:28:00,-28
01/12/24 02:29:00,-8
01/12/24 02:30:00,0
01/12/24 02:31:00,-23
01/12/24 02:32:00,0
01/12/24 02:33:00,7
01/12/24 02:34:00,33
01/12/24 02:35:00,-4
01/12/24 02:36:00,8
01/12/24 02:37:00,-1
01/12/24 02:38:00,0
01/12/24 02:39:00,8
01/12/24 02:40:00,0
01/12/24 02:41:00,-6
01/12/24 02:42:00,-10
01/12/24 02:43:00,4
01/12/24 02:44:00,-19
01/12/24 02:45:00,10
01/12/24 02:46:00,20
01/12/24 02:47:00,-2
01/12/24 02:48:00,17
01/12/24 02:49:00,0
01/12/24 02:50:00,0
01/12/24 02:51:00,0
01/12/24 02:52:00,-5
01/12/24 02:53:00,0
01/12/24 02:54:00,24
01/12/24 02:55:00,0
01/12/24 02:56:00,-12
01/12/24 02:57:00,-43
01/12/24 02:58:00,-9
01/12/24 02:59:00,-30
01/12/24 03:00:00,-17
01/12/24 03:01:00,0
01/12/24 03:02:00,0
01/12/24 03:03:00,0
01/12/24 03:04:00,-1
01/12/24 03:05:00,-5
01/12/24 03:06:00,-15
01/12/24 03:07:00,-32
01/12/24 03:08:00,14
01/12/24 03:09:00,0
01/12/24 03:10:00,3
01/12/24 03:11:00,-33
01/12/24 03:12:00,0
01/12/24 03:13:00,-49
01/12/24 03:14:00,8
01/12/24 03:15:00,0
01/12/24 03:16:00,0
01/12/24 03:17:00,20
01/12/24 03:18:00,-8
01/12/24 03:19:00,0
01/12/24 03:20:00,4
01/12/24 03:21:00,5
01/12/24 03:22:00,-5
01/12/24 03:23:00,1
01/12/24 03:24:00,0
01/12/24 03:25:00,-4
01/12/24 03:26:00,11
01/12/24 03:27:00,0
01/12/24 03:28:00,-4
01/12/24 03:29:00,0
01/12/24 03:30:00,3
01/12/24 03:31:00,3
01/12/24 03:32:00,-8
01/12/24 03:33:00,-1
01/12/24 03:34:00,10
01/12/24 03:35:00,22
01/12/24 03:36:00,53
01/12/24 03:37:00,-6
01/12/24 03:38:00,0
01/12/24 03:39:00,14
01/12/24 03:40:00,5
01/12/24 03:41:00,17
01/12/24 03:42:00,-3
01/12/24 03:43:00,-2
01/12/24 03:44:00,4
01/12/24 03:45:00,-1
01/12/24 03:46:00,21
01/12/24 03:47:00,0
01/12/24 03:48:00,30
01/12/24 03:49:00,0
01/12/24 03:50:00,-4
01/12/24 03:51:00,-1
01/12/24 03:52:00,-2
01/12/24 03:53:00,7
01/12/24 03:54:00,0
01/12/24 03:55:00,-13
01/12/24 03:56:00,-2
01/12/24 03:57:00,2
01/12/24 03:58:00,0
01/12/24 03:59:00,-1
01/12/24 04:00:00,0
01/12/24 04:01:00,4
01/12/24 04:02:00,23
01/12/24 04:03:00,0
01/12/24 04:04:00,-3
01/12/24 04:05:00,0
01/12/24 04:06:00,4
01/12/24 04:07:00,-10
01/12/24 04:08:00,-16
01/12/24 04:09:00,15
01/12/24 04:10:00,-60
01/12/24 04:11:00,-34
01/12/24 04:12:00,4
01/12/24 04:13:00,-68
01/12/24 04:14:00,-25
01/12/24 04:15:00,4
01/12/24 04:16:00,0
01/12/24 04:17:00,24
01/12/24 04:18:00,-1
