timestamp,rmssd,coverage,low_frequency,high_frequency
2023-12-14T00:00:00,35.011,0.986,2845.022,252.167
2023-12-14T00:05:00,39.476,0.893,4555.823,442.675
2023-12-14T00:10:00,38.827,0.945,445.111,252.532
2023-12-14T00:15:00,43.171,0.972,415.762,446.085
2023-12-14T00:20:00,33.78,0.981,631.749,275.571
2023-12-14T00:25:00,34.929,1.003,404.399,282.298
2023-12-14T00:30:00,35.535,1.004,386.94,323.164
2023-12-14T00:35:00,33.767,1.003,314.089,296.234
2023-12-14T00:40:00,37.62,1.003,237.022,388.27
2023-12-14T00:45:00,44.39,0.796,3564.223,400.314
2023-12-14T00:50:00,30.781,1.003,1314.175,247.767
2023-12-14T00:55:00,17.259,1.004,215.334,54.365
2023-12-14T01:00:00,22.934,0.962,400.515,85.41
2023-12-14T01:05:00,32.037,1.003,620.11,172.656
2023-12-14T01:10:00,31.755,0.987,1616.424,150.682
2023-12-14T01:15:00,30.578,0.994,366.176,151.824
2023-12-14T01:20:00,30.522,1.004,415.182,167.507
2023-12-14T01:25:00,35.311,0.942,5876.658,259.297
2023-12-14T01:30:00,39.921,1.004,904.124,286.93
2023-12-14T01:35:00,46.325,0.974,2083.718,335.761
2023-12-14T01:40:00,48.423,0.95,4541.192,340.202
2023-12-14T01:45:00,48.345,0.939,2485.369,418.141
2023-12-14T01:50:00,52.936,0.926,1743.113,602.904
2023-12-14T01:55:00,56.313,0.957,469.954,497.805
2023-12-14T02:00:00,54.609,0.987,312.323,557.108
2023-12-14T02:05:00,61.186,0.896,1715.057,587.715
2023-12-14T02:10:00,36.287,0.952,157.938,105.837
2023-12-14T02:15:00,60.266,0.987,884.438,422.325
2023-12-14T02:20:00,55.877,1.003,1229.63,353.133
2023-12-14T02:25:00,58.348,0.937,2041.654,434.88
2023-12-14T02:30:00,22.124,1.002,622.138,71.049
2023-12-14T02:35:00,27.577,0.996,659.011,105.971
2023-12-14T02:40:00,30.428,1.001,399.382,100.943
2023-12-14T02:45:00,31.685,0.945,309.294,108.425
2023-12-14T02:50:00,39.628,1.003,834.824,119.735
2023-12-14T02:55:00,43.467,1.005,852.993,148.4
2023-12-14T03:00:00,65.136,0.931,936.744,478.175
2023-12-14T03:05:00,46.152,0.967,723.909,308.028
2023-12-14T03:10:00,63.367,1.003,1228.907,587.4
2023-12-14T03:15:00,52.319,1.001,1137.369,473.936
2023-12-14T03:20:00,45.142,1.002,479.447,247.609
2023-12-14T03:25:00,47.47,0.997,928.205,409.804
2023-12-14T03:30:00,48.989,1.004,908.988,356.281
2023-12-14T03:35:00,46.492,0.937,1568.155,445.388
2023-12-14T03:40:00,55.929,1.001,575.21,514.025
2023-12-14T03:45:00,53.608,1.005,554.003,435.006
2023-12-14T03:50:00,60.473,0.956,3606.95,844.23
2023-12-14T03:55:00,56.495,0.861,1195.962,468.995
2023-12-14T04:00:00,66.339,0.949,1891.354,1048.865
2023-12-14T04:05:00,63.573,0.97,1795.958,690.655
2023-12-14T04:10:00,66.823,0.953,1354.09,716.388
2023-12-14T04:15:00,64.952,1.005,1861.356,842.304
2023-12-14T04:20:00,73.186,0.87,2796.594,868.968
2023-12-14T04:25:00,59.292,0.984,903.038,681.568
2023-12-14T04:30:00,82.563,1.001,264.499,355.488
2023-12-14T04:35:00,118.63,0.962,866.622,781.473
2023-12-14T04:40:00,104.405,0.974,1334.724,1492.638
2023-12-14T04:45:00,115.084,1.003,615.313,885.253
2023-12-14T04:50:00,91.525,0.934,1486.256,783.258
2023-12-14T04:55:00,89.212,0.942,1053.169,1313.695
2023-12-14T05:00:00,88.291,1.004,426.126,1060.399
2023-12-14T05:05:00,91.439,1.003,441.214,1416.523
2023-12-14T05:10:00,81.728,1.004,478.445,748.684
2023-12-14T05:15:00,78.486,0.869,1700.813,1203.226
2023-12-14T05:20:00,45.157,0.862,2440.728,400.377
2023-12-14T05:25:00,50.027,0.976,3145.054,461.957
2023-12-14T05:30:00,49.906,0.934,5859.335,610.957
2023-12-14T05:35:00,41.803,1.001,1271.968,412.461
2023-12-14T05:40:00,54.495,0.909,2290.176,468.748
2023-12-14T05:45:00,58.782,0.938,1418.811,695.044
