timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-12-02T08:39:30,19.8,2.1,11.485,-1.0,0.0,2.387,19.8,2.1,11.485,20.8,0.6,2.928
2023-12-03T09:15:00,29.8,0.2,6.875,29.8,0.2,6.875,19.6,1.7,11.194,28.8,0.5,3.867
2023-12-04T07:47:00,19.8,2.0,10.622,19.8,2.0,10.622,20.0,1.5,12.612,23.6,0.6,2.844
2023-12-04T09:14:30,19.0,1.5,9.853,19.0,1.5,9.853,20.0,1.5,12.317,23.6,0.6,2.844
2023-12-05T08:03:00,20.2,0.7,4.137,20.2,0.7,4.137,19.6,1.7,15.191,-1.0,0.0,1.993
2023-12-06T07:10:30,19.0,1.3,8.438,19.0,1.3,8.438,19.0,1.3,10.34,-1.0,0.0,2.088
2023-12-07T07:14:30,19.6,0.6,5.987,19.6,0.6,5.987,19.2,1.4,10.412,-1.0,0.0,1.971
2023-12-08T07:50:30,19.6,1.4,13.586,19.6,1.4,13.586,19.0,1.2,9.461,-1.0,0.0,1.937
2023-12-09T07:47:30,18.6,0.6,8.048,18.6,0.6,8.048,19.0,1.5,10.499,-1.0,0.0,1.634
2023-12-10T10:40:00,18.8,0.8,5.624,18.8,0.8,5.624,18.4,1.5,9.75,-1.0,0.0,1.676
2023-12-11T08:03:30,19.2,1.6,6.73,19.2,1.6,6.73,18.6,2.0,8.556,8.8,0.7,2.535
2023-12-12T07:27:00,18.8,1.4,6.56,18.8,1.4,6.56,18.8,1.7,7.036,18.4,2.2,6.745
2023-12-13T07:58:00,19.2,0.9,6.831,19.2,0.9,6.831,18.6,1.8,7.238,11.2,1.6,3.696
2023-12-14T08:37:30,19.0,1.1,5.915,19.0,1.1,5.915,19.2,1.6,8.931,12.8,0.6,3.092
2023-12-15T08:24:30,18.4,1.1,10.424,18.4,1.1,10.424,18.6,1.3,8.707,-1.0,0.0,1.36
2023-12-16T07:19:30,18.6,1.5,10.821,18.6,1.5,10.821,18.6,1.9,8.487,-1.0,0.0,1.539
2023-12-17T07:56:30,17.8,1.3,4.878,17.8,1.3,4.878,17.6,2.0,11.818,18.2,0.5,2.683
2023-12-18T07:33:30,18.6,1.0,5.915,18.6,1.0,5.915,19.0,1.4,8.355,-1.0,0.0,2.185
2023-12-19T08:08:30,20.8,0.7,7.001,20.8,0.7,7.001,20.0,2.0,10.283,-1.0,0.0,1.875
2023-12-20T08:33:30,19.6,1.2,11.253,19.6,1.2,11.253,18.0,1.8,9.716,-1.0,0.0,2.397
2023-12-21T04:50:30,17.4,1.1,7.881,17.4,1.1,7.881,17.6,1.4,8.801,15.2,0.8,3.633
2023-12-21T08:40:30,17.4,1.1,8.276,17.4,1.1,8.276,17.6,1.6,8.483,27.0,0.3,3.209
2023-12-22T07:41:30,18.0,0.9,8.929,18.0,0.9,8.929,18.2,1.8,10.405,10.6,1.4,3.469
2023-12-23T08:02:30,18.6,1.2,9.236,18.6,1.2,9.236,18.0,2.0,12.346,-1.0,0.0,2.446
2023-12-24T06:59:00,18.2,1.4,10.194,18.2,1.4,10.194,17.8,1.5,9.47,13.8,0.5,2.796
2023-12-25T06:46:00,20.8,1.0,7.022,20.8,1.0,7.022,19.4,2.1,8.964,27.4,0.8,3.971
2023-12-26T08:32:30,19.2,1.2,8.652,19.2,1.2,8.652,18.6,1.3,8.769,-1.0,0.0,1.708
2023-12-27T08:26:30,18.6,1.1,6.936,18.6,1.1,6.936,18.2,1.0,6.888,-1.0,0.0,1.68
2023-12-28T08:46:30,19.0,0.9,7.163,19.0,0.9,7.163,18.8,1.7,12.28,-1.0,0.0,2.001
2023-12-29T09:36:30,19.8,1.2,8.801,19.8,1.2,8.801,18.2,1.7,7.383,-1.0,0.0,2.211
