DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2023-12-02T00:00:00,2023-12-02T07:40:54.289,0,0,0,0,0,0,0,NO_DATA,true
2023-12-03T00:00:00,2023-12-03T08:33:24.925,70,24,30,21,30,25,40,READY,false
2023-12-04T00:00:00,2023-12-04T08:30:16.707,63,19,30,23,30,21,40,READY,false
2023-12-05T00:00:00,2023-12-05T07:15:30.522,68,23,30,23,30,22,40,READY,false
2023-12-06T00:00:00,2023-12-07T06:17:27.159,71,25,30,21,30,25,40,READY,false
2023-12-07T00:00:00,2023-12-07T06:15:33.235,65,19,30,20,30,26,40,READY,false
2023-12-08T00:00:00,2023-12-09T06:50:02.389,66,17,30,21,30,28,40,READY,false
2023-12-09T00:00:00,2023-12-09T06:48:15.786,74,25,30,23,30,26,40,READY,false
2023-12-10T00:00:00,2023-12-10T09:53:02.915,70,21,30,23,30,26,40,READY,false
2023-12-11T00:00:00,2023-12-11T07:04:31.778,72,25,30,24,30,23,40,READY,false
2023-12-12T00:00:00,2023-12-12T06:48:42.766,72,27,30,21,30,24,40,READY,false
2023-12-13T00:00:00,2023-12-13T07:19:01.318,71,23,30,24,30,24,40,READY,false
2023-12-14T00:00:00,2023-12-14T07:38:38.149,71,23,30,23,30,25,40,READY,false
2023-12-15T00:00:00,2023-12-15T07:25:27.41,75,26,30,24,30,25,40,READY,false
2023-12-16T00:00:00,2023-12-16T06:56:35.041,76,26,30,26,30,24,40,READY,false
2023-12-17T00:00:00,2023-12-17T07:09:26.992,74,21,30,29,30,24,40,READY,false
2023-12-18T00:00:00,2023-12-18T06:34:14.537,79,26,30,28,30,25,40,READY,false
2023-12-19T00:00:00,2023-12-19T07:09:45.436,64,23,30,16,30,25,40,READY,false
2023-12-20T00:00:00,2023-12-20T07:34:21.573,69,21,30,20,30,28,40,READY,false
2023-12-21T00:00:00,2023-12-21T07:41:14.755,76,26,30,25,30,25,40,READY,false
2023-12-22T00:00:00,2023-12-22T06:43:04.621,0,0,0,0,0,0,0,NO_DATA,true
2023-12-23T00:00:00,2023-12-23T08:57:40.237,67,20,30,21,30,26,40,READY,false
2023-12-24T00:00:00,2023-12-24T07:20:30.72,74,22,30,23,30,29,40,READY,false
2023-12-25T00:00:00,2023-12-25T06:03:25.728,71,19,30,23,30,29,40,READY,false
2023-12-26T00:00:00,2023-12-26T07:33:11.469,76,25,30,21,30,30,40,READY,false
2023-12-27T00:00:00,2023-12-27T07:27:37.682,74,21,30,23,30,30,40,READY,false
2023-12-28T00:00:00,2023-12-28T07:47:04.038,86,28,30,29,30,29,40,READY,false
2023-12-29T00:00:00,2023-12-29T08:37:59.725,88,30,30,27,30,31,40,READY,false
2023-12-31T00:00:00,2023-12-31T18:16:03.512,0,0,0,0,0,0,0,NO_DATA,true
2024-01-01T00:00:00,2024-01-02T10:57:28.841,71,21,30,23,30,27,40,READY,false
2024-01-02T00:00:00,2024-01-02T19:06:53.742,0,0,0,0,0,0,0,NO_DATA,true
2024-01-03T00:00:00,2024-01-03T22:45:08.888,65,21,30,23,30,21,40,READY,false
2024-01-04T00:00:00,2024-01-04T09:08:28.61,70,26,30,21,30,23,40,READY,false
2024-01-05T00:00:00,2024-01-05T07:11:16.439,68,22,30,24,30,22,40,READY,false
2024-01-06T00:00:00,2024-01-06T08:57:38.247,71,25,30,22,30,24,40,READY,false
2024-01-07T00:00:00,2024-01-07T11:31:51.002,65,18,30,21,30,26,40,READY,false
2024-01-08T00:00:00,2024-01-08T22:47:49.403,0,0,0,0,0,0,0,NO_DATA,true
2024-01-09T00:00:00,2024-01-10T12:41:48.626,0,0,0,0,0,0,0,NO_DATA,true
2024-01-10T00:00:00,2024-01-10T12:41:48.218,0,0,0,0,0,0,0,NO_DATA,true
2024-01-11T00:00:00,2024-01-11T12:49:03.97,65,17,30,27,30,21,40,READY,false
2024-01-12T00:00:00,2024-01-12T07:42:33.307,66,21,30,24,30,21,40,READY,false
2024-01-13T00:00:00,2024-01-13T07:32:17.218,64,20,30,23,30,21,40,READY,false
2024-01-14T00:00:00,2024-01-14T08:56:36.684,66,21,30,23,30,22,40,READY,false
2024-01-15T00:00:00,2024-01-15T08:07:47.697,79,28,30,23,30,28,40,READY,false
2024-01-16T00:00:00,2024-01-16T09:21:04.85,71,21,30,22,30,28,40,READY,false
2024-01-17T00:00:00,2024-01-17T07:59:26.703,82,30,30,25,30,27,40,READY,false
2024-01-18T00:00:00,2024-01-18T06:19:18.759,81,27,30,27,30,27,40,READY,false
2024-01-19T00:00:00,2024-01-19T06:45:32.98,67,19,30,22,30,26,40,READY,false
