timestamp,Infrared to Red Signal Ratio
01/17/24 00:00:00,18
01/17/24 00:01:00,0
01/17/24 00:02:00,-17
01/17/24 00:03:00,39
01/17/24 00:04:00,43
01/17/24 00:05:00,0
01/17/24 00:06:00,-2
01/17/24 00:07:00,-7
01/17/24 00:08:00,0
01/17/24 00:09:00,-13
01/17/24 00:10:00,13
01/17/24 00:11:00,41
01/17/24 00:12:00,0
01/17/24 00:13:00,0
01/17/24 00:14:00,-15
01/17/24 00:15:01,7
01/17/24 00:16:01,-21
01/17/24 00:17:01,17
01/17/24 00:18:01,-4
01/17/24 00:19:01,-34
01/17/24 00:20:01,-6
01/17/24 00:21:01,0
01/17/24 00:22:01,-8
01/17/24 00:23:01,20
01/17/24 00:24:01,-1
01/17/24 00:25:01,-13
01/17/24 00:26:01,0
01/17/24 00:27:01,0
01/17/24 00:28:01,38
01/17/24 00:29:01,-13
01/17/24 00:30:00,0
01/17/24 00:31:00,15
01/17/24 00:32:00,0
01/17/24 00:33:00,0
01/17/24 00:34:00,0
01/17/24 00:35:00,-12
01/17/24 00:36:00,-8
01/17/24 00:37:00,0
01/17/24 00:38:00,-17
01/17/24 00:39:00,-4
01/17/24 00:40:00,0
01/17/24 00:41:00,7
01/17/24 00:42:00,12
01/17/24 00:43:00,23
01/17/24 00:44:00,0
01/17/24 00:45:01,-26
01/17/24 00:46:01,0
01/17/24 00:47:01,-1
01/17/24 00:48:01,0
01/17/24 00:49:01,15
01/17/24 00:50:01,27
01/17/24 00:51:01,0
01/17/24 00:52:01,0
01/17/24 00:53:01,20
01/17/24 00:54:01,-4
01/17/24 00:55:01,0
01/17/24 00:56:01,0
01/17/24 00:57:01,5
01/17/24 00:58:01,-5
01/17/24 00:59:01,26
01/17/24 01:00:02,1
01/17/24 01:01:02,5
01/17/24 01:02:02,0
01/17/24 01:03:02,-11
01/17/24 01:04:02,-8
01/17/24 01:05:02,0
01/17/24 01:06:02,46
01/17/24 01:07:02,1
01/17/24 01:08:02,1
01/17/24 01:09:02,0
01/17/24 01:10:02,17
01/17/24 01:11:02,0
01/17/24 01:12:02,70
01/17/24 01:13:02,33
01/17/24 01:14:02,17
01/17/24 01:15:59,-4
