sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
44601507004,2024-02-20T07:34:30Z,75,21,19,35,59,66,0.13993174061433447
44588024307,2024-02-19T08:12:30Z,82,21,20,41,74,66,0.11678832116788321
44577740414,2024-02-18T09:17:00Z,71,18,17,36,58,65,0.16342756183745583
44565814548,2024-02-17T09:00:00Z,80,20,20,40,61,66,0.11980676328502415
44557202596,2024-02-16T08:40:00Z,76,21,18,37,59,66,0.16
44542931013,2024-02-15T09:35:30Z,84,22,18,44,111,65,0.16554809843400448
44532041834,2024-02-14T07:43:00Z,69,20,17,32,37,66,0.20045045045045046
44520096459,2024-02-13T07:22:30Z,80,21,18,41,50,65,0.11975435005117707
44508851938,2024-02-12T08:34:00Z,88,21,21,46,64,65,0.11682242990654206
44497785688,2024-02-11T08:13:00Z,83,21,20,42,42,64,0.10714285714285714
44487258276,2024-02-10T08:02:30Z,82,19,17,46,84,62,0.09216589861751152
44487258275,2024-02-09T08:22:00Z,74,20,17,37,80,62,0.0922722029988466
44462108257,2024-02-08T08:14:30Z,85,21,19,45,74,61,0.08687943262411348
44450651008,2024-02-07T08:35:30Z,79,20,20,39,73,62,0.1200750469043152
44437954792,2024-02-06T07:47:30Z,74,20,22,32,30,63,0.09470304975922954
44426618743,2024-02-05T07:50:00Z,81,19,20,42,66,64,0.09184726522187822
44415637984,2024-02-04T08:35:00Z,87,21,21,45,79,64,0.09372156505914468
44405479013,2024-02-03T08:20:00Z,79,21,21,37,78,64,0.07930607187112763
44394988352,2024-02-02T09:08:30Z,71,19,20,32,35,64,0.0975609756097561
44382548824,2024-02-01T07:50:30Z,73,18,22,33,55,65,0.09419354838709677
44374554839,2024-01-31T09:23:30Z,76,17,17,42,71,64,0.08673978065802593
44374554838,2024-01-30T08:06:00Z,73,20,21,32,36,64,0.0849194729136164
44342812009,2024-01-29T08:16:30Z,69,17,16,36,65,65,0.15843621399176955
44339295375,2024-01-28T09:02:00Z,82,21,21,40,66,67,0.09883720930232558
44339295374,2024-01-27T08:59:30Z,78,20,22,36,40,68,0.0958904109589041
44311981199,2024-01-26T08:17:00Z,83,21,16,46,76,67,0.10237659963436929
44298808630,2024-01-25T07:22:30Z,76,20,19,37,54,67,0.08443908323281062
44286864472,2024-01-24T09:02:30Z,66,15,18,33,24,67,0.14971428571428572
44279948560,2024-01-23T18:10:00Z,52,13,12,27,7,66,0.14058355437665782
44273305648,2024-01-23T07:35:00Z,78,17,20,41,46,66,0.10237849017580145
44260287115,2024-01-22T07:38:00Z,87,19,21,47,72,67,0.09345794392523364
44260287114,2024-01-21T08:33:00Z,87,21,21,45,78,67,0.10632447296058661
44239778591,2024-01-20T10:26:00Z,80,19,18,43,85,67,0.11326860841423948
44226589836,2024-01-19T07:44:30Z,75,16,17,42,69,66,0.12100677637947725
44216479385,2024-01-18T07:18:30Z,89,20,22,47,64,68,0.08661417322834646
44202747609,2024-01-17T08:12:00Z,90,22,22,46,96,69,0.08605577689243028
44186759918,2024-01-16T08:05:30Z,76,16,19,41,57,68,0.10880316518298715
44173929347,2024-01-15T09:06:30Z,88,21,22,45,65,70,0.10142497904442582
44163280811,2024-01-14T09:55:30Z,78,19,17,42,61,69,0.14285714285714285
44151890418,2024-01-13T08:17:30Z,78,18,21,39,39,69,0.07097457627118645
44139956392,2024-01-12T08:19:30Z,74,18,21,35,47,69,0.08618504435994931
44129698684,2024-01-11T09:17:00Z,74,16,21,37,53,70,0.12763596004439512
44121708862,2024-01-10T10:57:30Z,87,25,19,43,141,72,0.12989690721649486
44121708861,2024-01-09T19:15:00Z,74,19,11,44,68,69,0.15
44106959620,2024-01-09T08:08:30Z,71,20,10,41,28,69,0.15004840271055178
44102211147,2024-01-08T22:27:00Z,65,18,11,36,49,67,0.12826603325415678
44096418749,2024-01-08T13:21:30Z,68,16,10,42,56,67,0.19397799652576722
44084230481,2024-01-07T09:58:30Z,66,17,16,33,33,67,0.1656441717791411
44070921735,2024-01-06T09:30:30Z,83,20,19,44,67,66,0.12470402525651145
44058074597,2024-01-05T08:10:30Z,80,20,20,40,61,67,0.1354071363220494
44048998883,2024-01-04T09:30:00Z,88,21,21,46,72,66,0.0967741935483871
44032634531,2024-01-03T11:15:30Z,86,22,20,44,87,67,0.12278308321964529
44030110692,2024-01-02T18:54:30Z,48,13,7,28,4,69,0.285132382892057
44024864223,2024-01-02T08:32:30Z,79,18,19,42,91,69,0.17034700315457413
44012214270,2024-01-01T10:05:30Z,83,20,21,42,81,72,0.10951008645533142
43981028282,2023-12-29T09:36:30Z,86,22,22,42,93,74,0.0826044703595724
43968943092,2023-12-28T08:46:30Z,84,21,22,41,75,75,0.08047105004906771
43958420433,2023-12-27T08:26:30Z,77,19,21,37,50,76,0.10549943883277217
43945462177,2023-12-26T08:32:30Z,81,22,18,41,101,74,0.07215447154471545
43934303984,2023-12-25T06:46:00Z,59,18,13,28,45,72,0.09983079526226735
43925240901,2023-12-24T06:59:00Z,75,19,16,40,80,70,0.08486238532110092
43915607614,2023-12-23T08:02:30Z,74,18,18,38,82,69,0.12541620421753608
43904251434,2023-12-22T07:41:30Z,69,17,19,33,65,68,0.09419354838709677
43892887405,2023-12-21T08:40:30Z,85,22,18,45,89,68,0.1273542600896861
43878846657,2023-12-20T08:33:30Z,77,18,15,44,79,66,0.10384959713518353
43869416795,2023-12-19T08:08:30Z,76,17,13,46,78,65,0.08957795004306632
43857776990,2023-12-18T07:33:30Z,83,21,21,41,57,65,0.09407337723424271
43846158508,2023-12-17T07:56:30Z,76,17,21,38,75,65,0.09498399146211313
43834775074,2023-12-16T07:19:30Z,78,21,21,36,72,65,0.07672955974842767
43825880959,2023-12-15T08:24:30Z,87,22,20,45,95,65,0.13066666666666665
43816112145,2023-12-14T08:37:30Z,79,21,17,41,58,65,0.1281809613572102
43801707487,2023-12-13T07:58:00Z,78,18,18,42,78,64,0.10577864838393732
43789340348,2023-12-12T07:27:00Z,84,21,21,42,64,64,0.0995850622406639
43779821964,2023-12-11T08:03:30Z,86,21,21,44,65,64,0.11739130434782609
43769496548,2023-12-10T10:40:00Z,81,21,19,41,54,64,0.09391124871001032
43756033759,2023-12-09T07:47:30Z,77,21,22,34,51,65,0.09523809523809523
43742102596,2023-12-08T07:50:30Z,66,18,16,32,63,65,0.1499482936918304
43734376069,2023-12-07T07:14:30Z,72,17,20,35,48,66,0.11894273127753303
43724327743,2023-12-06T07:10:30Z,82,20,20,42,77,67,0.09619450317124736
43709738059,2023-12-05T08:03:00Z,83,19,22,42,57,68,0.10903732809430255
43699247877,2023-12-04T09:14:30Z,80,17,20,43,66,69,0.12131423757371525
43688617526,2023-12-03T09:15:00Z,81,21,17,43,64,68,0.09544008483563096
43676973630,2023-12-02T08:39:30Z,75,18,13,44,84,63,0.09836065573770492
